ANCG,SAR,JUR,CAB,MUN,VIN,OTR,sample,seascape
0,0,0,0,0,12.972161,0,546,21
0,0,0,0,0,0,0,547,21
0,0,0,0,0,90.402279,0,548,21
0,0,0,0,0,2.911359,0,549,21
0,0,0,0,0,0,0,550,21
0,0,0,0,0,0,0,551,21
0,0,0,0,0,0,0,552,21
0,0,0,0,0,0,0,553,21
0,0,0,0,0,0,0,554,21
0,0,0,0,0.649877,0,0,555,21
0,0,0,0,1.652445,0,0,556,21
3.738,0,0,0,36.326736,0,0,557,21
2.633414,0,0,0,61.470951,0,0,558,21
33.568039,0,0,0,105.698418,0,0,559,21
37.849814,0,0,0,165.658888,0,0,560,21
136.621021,0,0,0,96.291333,0,0,561,21
31.559364,0,0,0,90.567159,0,0,562,21
566.84655,0,0,0,70.37984,0,0,563,21
0,0,0,0,0,0,0,564,21
0,0,0,0,109.640621,0,0,565,21
0,0,0,0,6.689996,0,0,566,21
0,0,0,0,0,0,0,567,21
0,0,0,0,0,0,0,568,21
0,0,0,0,0,0,0,569,21
0,0,0,0,0,0,0,570,21
0,0,0,0,0,0,0,571,21
0,0,0,0,0,0,0,572,21
0,0,0,0,0,0,0,573,21
0,0,0,0,0,0,0,574,21
0,0,0,0,0,0,0,575,21
0,0,0,0,0,0,0,576,21
0,0,0,0,0,0,0,577,21
0,0,0,0,0,0,0,578,21
0,0,0,0,0,0,0,579,21
0,0,0,0,0,0,0,580,21
0,0,0,0,0,0,0,581,21
0,0,0,0,0,0,0,582,21
0,0,0,0,0,0,0,583,7
0,0,0,0,0,0,0,584,7
0,0,0,0,0,0,0,585,7
0,0,0,0,0,0,0,586,7
0,0,0,0,0,0,0,587,7
0,0,0,0,0,0,0,588,7
0,0,0,0,0,0,0,589,7
0,0,0,0,0,0,0,590,7
0,0,0,0,0,0,0,591,7
0,0,0,0,0,0,0,592,7
0,0,0,0,0,0,0,593,7
0,0,0,0,0,0,0,594,7
0,0,0,0,0,0,0,595,7
0,0,0,0,0,0,0,596,7
0,0,0,0,0,0,0,597,7
0,0,0,0,0,0,0,598,7
0,0,0,0,0,0,0,599,7
0,0,0,0,0,114.271885,0,737,7
0,0,0,0,0,148.739641,0,738,7
0,0,0,0,0,257.359602,0,739,7
0,0,0,0,0,107.798995,0,740,7
0,0,0,0,0,72.39213,0,741,7
0,0,0,0,0,289.6197,0,742,7
0,0,0,0,0,127.743384,0,743,7
0,0,0,0,0,0,0,744,7
0,0,0,0,0,0,0,745,7
0,0,0,0,0,0,0,746,7
0,0,0,0,0,0,0,747,7
0,0,0,0,0,0,0,748,7
0,0,0,0,0,0,0,749,7
0,0,0,0,0,0,0,750,7
0,0,0,0,0,0,0,751,7
0,0,0,0,0,0,0,752,7
0,0,0,0,0,0,0,753,7
0,0,0,0,0,0,0,754,21
0,0,0,0,0,0,0,755,21
0,0,0,0,0,0,0,756,21
0,0,0,0,0,0,0,757,21
0,0,0,0,0,0,0,758,21
0,0,0,0,0,0,0,759,21
0,0,0,0,0,0,0,760,21
0,0,0,0,0,0,0,761,21
0,0,0,0,0,0,0,762,21
0,0,0,0,0,0,0,763,21
0,0,0,0,0,0,0,764,21
0,0,0,0,0,0,0,765,21
0,0,0,0,0,0,0,766,21
0,0,0,0,0,0,0,767,21
0,0,0,0,0,0,0,768,21
0,0,0,0,0,0,0,769,21
0,0,0,0,0,0,0,770,21
0,0,0,0,0,0,0,771,21
0,0,0,0,0,0,0,772,21
0,0,0,0,2.877764,0,0,773,21
0,0,0,0,34.339136,0,0,774,21
0,0,0,0,17.024768,0,0,775,21
150.920741,0,0,0,3.584489,0,0,776,21
291.034919,0,0,0,47.286065,0,0,777,21
0,0,0,0,239.658258,0,0,778,21
0,0,0,0,253.722829,0,0,779,21
0,0,0,0,320.080945,0,0,780,21
0,0,0,0,395.117778,0,0,781,21
0,0,0,0,219.551886,0,0,782,21
0,0,0,0,104.524463,0,0,783,21
0,0,0,0,39.040105,0,0,784,21
0,0,0,0,38.10079,0,0,785,21
0,0,0,0,49.788803,0,0,786,21
0,0,0,0,66.771789,0,0,787,21
1.795279,0,0,0,103.276929,0,0,788,21
0,0,0,0,277.831426,0,0,789,21
59.073369,0,0,0,498.497369,0,0,790,21
25.893681,0,0,0,949.656714,0,0,791,21
210.999822,0,0,0,3031.987153,0,0,792,21
315.275856,0,0,0,2812.246538,0,0,793,21
4550.628058,0,0,0,2496.586449,0,0,794,21
9508.418285,0,0,0,848.479392,0,0,795,21
1186.808214,0,0,0,929.12319,0,0,796,21
56.823918,0,0,0,882.777536,0,0,797,21
0,0,0,0,736.152459,0,0,798,21
0,0,0,0,647.1129,0,0,799,21
0,0,0,0,3283.274155,0,0,800,21
0,0,0,0,2583.976176,0,0,801,14
0,0,0,0,5678.882273,0,0,802,14
0,0,0,0,7765.94517,0,0,803,14
0,0,0,0,7198.252298,0,0,804,14
0,0,0,0,1794.93625,0,0,805,14
0,0,0,0,1723.49685,0,0,806,14
0,0,0,0,1137.949283,0,0,807,14
0,0,0,0,1506.252416,0,0,808,14
0,0,0,0,3672.060421,0,0,809,14
0,0,0,0,4993.271455,0,0,810,14
0,0,0,0,4280.724032,0,0,811,14
0,0,0,0,967.324102,0,0,812,14
0,0,0,0,1104.643208,0,0,813,14
0,0,0,0,1113.768798,0,0,814,14
0,0,0,0,224.700628,0,0,815,14
0,0,0,0,175.57772,0,0,816,14
0,0,0,0,14.293622,0,0,817,14
0,0,0,0,0,0,0,818,14
0,0,0,0,0,0,0,819,14
0,0,0,0,0,0,0,820,14
0,0,0,0,0,0,0,821,14
0,0,0,0,0,0,0,822,14
